Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,7639,7639,7639,273080000,1723340000,16240000,273080000,1434020000,0.009424,0,0,0,1
2,7644,7644,7644,273860000,1723340000,15950000,273860000,1433530000,0.009255,0,0,0,1
3,7633,7633,7633,272900000,1723340000,16210000,272900000,1434230000,0.009406,0,0,0,1
4,7631,7631,7631,274760000,1723340000,15240000,274760000,1433340000,0.008843,0,0,0,1
5,7639,7639,7639,272900000,1723340000,16330000,272900000,1434110000,0.009476,0,0,0,1
6,7621,7621,7621,273020000,1723340000,15910000,273020000,1434410000,0.009232,0,0,0,1
7,7632,7632,7632,273660000,1723340000,15810000,273660000,1433870000,0.009174,0,0,0,1
8,7626,7626,7626,273680000,1723340000,15680000,273680000,1433980000,0.009099,0,0,0,1
9,7640,7640,7640,272220000,1723340000,16690000,272220000,1434430000,0.009685,0,0,0,1
10,7633,7633,7633,272780000,1723340000,16270000,272780000,1434290000,0.009441,0,0,0,1
11,7641,7641,7641,274220000,1723340000,15710000,274220000,1433410000,0.009116,0,0,0,1
12,7642,7642,7642,272860000,1723340000,16410000,272860000,1434070000,0.009522,0,0,0,1
13,7637,7637,7637,273080000,1723340000,16200000,273080000,1434060000,0.0094,0,0,0,1
14,7640,7640,7640,273300000,1723340000,16150000,273300000,1433890000,0.009371,0,0,0,1
15,7637,7637,7637,274000000,1723340000,15740000,274000000,1433600000,0.009133,0,0,0,1
16,7632,7632,7632,274120000,1723340000,15580000,274120000,1433640000,0.009041,0,0,0,1
17,7647,7647,7647,273940000,1723340000,15970000,273940000,1433430000,0.009267,0,0,0,1
18,7639,7639,7639,273780000,1723340000,15890000,273780000,1433670000,0.00922,0,0,0,1
19,7631,7631,7631,273560000,1723340000,15840000,273560000,1433940000,0.009191,0,0,0,1
20,7623,7623,7623,272540000,1723340000,16190000,272540000,1434610000,0.009395,0,0,0,1
21,7641,7641,7641,274040000,1723340000,15800000,274040000,1433500000,0.009168,0,0,0,1
22,7650,7650,7650,273680000,1723340000,16160000,273680000,1433500000,0.009377,0,0,0,1
23,7628,7628,7628,272940000,1723340000,16090000,272940000,1434310000,0.009337,0,0,0,1
24,7631,7631,7631,274600000,1723340000,15320000,274600000,1433420000,0.00889,0,0,0,1
25,7639,7639,7639,274740000,1723340000,15410000,274740000,1433190000,0.008942,0,0,0,1
26,7639,7639,7639,273220000,1723340000,16170000,273220000,1433950000,0.009383,0,0,0,1
27,7633,7633,7633,273020000,1723340000,16150000,273020000,1434170000,0.009371,0,0,0,1
28,7637,7637,7637,274320000,1723340000,15580000,274320000,1433440000,0.009041,0,0,0,1
29,7639,7639,7639,273380000,1723340000,16090000,273380000,1433870000,0.009337,0,0,0,1
30,7640,7640,7640,274380000,1723340000,15610000,274380000,1433350000,0.009058,0,0,0,1
31,7634,7634,7634,273540000,1723340000,15910000,273540000,1433890000,0.009232,0,0,0,1
32,7635,7635,7635,273680000,1723340000,15860000,273680000,1433800000,0.009203,0,0,0,1
33,7637,7637,7637,272660000,1723340000,16410000,272660000,1434270000,0.009522,0,0,0,1
34,7649,7649,7649,274760000,1723340000,15600000,274760000,1432980000,0.009052,0,0,0,1
35,7631,7631,7631,273720000,1723340000,15760000,273720000,1433860000,0.009145,0,0,0,1
36,7646,7646,7646,272920000,1723340000,16460000,272920000,1433960000,0.009551,0,0,0,1
37,7644,7644,7644,273940000,1723340000,15910000,273940000,1433490000,0.009232,0,0,0,1
38,7623,7623,7623,271620000,1723340000,16650000,271620000,1435070000,0.009661,0,0,0,1
39,7641,7641,7641,273920000,1723340000,15860000,273920000,1433560000,0.009203,0,0,0,1
40,7652,7652,7652,274580000,1723340000,15750000,274580000,1433010000,0.009139,0,0,0,1
41,7642,7642,7642,273880000,1723340000,15900000,273880000,1433560000,0.009226,0,0,0,1
42,7630,7630,7630,273800000,1723340000,15700000,273800000,1433840000,0.00911,0,0,0,1
43,7618,7618,7618,273560000,1723340000,15580000,273560000,1434200000,0.009041,0,0,0,1
44,7638,7638,7638,272660000,1723340000,16430000,272660000,1434250000,0.009534,0,0,0,1
