"planning_unit","number"
213440,1
213439,0
213012,0
213011,2
213010,1
213009,1
212583,5
212582,0
212581,1
212580,1
212155,0
212154,0
212153,1
212152,0
212151,0
211727,4
211726,0
211725,2
211724,1
211723,2
211722,0
211299,1
211298,1
211297,2
211296,0
211295,1
211294,1
211293,2
210870,0
210869,1
210868,2
210867,1
210866,0
210865,0
210864,0
210441,0
210440,2
210439,1
210438,2
210437,3
210436,1
210435,0
210013,0
210012,3
210011,0
210010,1
210009,0
210008,0
210007,1
209584,3
209583,1
209582,2
209581,2
209580,0
209579,2
209578,1
209155,1
209154,2
209153,2
209152,1
209151,2
209150,0
208726,3
208725,1
208724,1
208723,1
208722,1
208721,0
208297,2
208296,2
208295,0
208294,0
208293,1
208292,2
207868,2
207867,1
207866,1
207865,1
207864,1
207863,0
207862,0
207861,0
207439,0
207438,0
207437,1
207436,0
207435,2
207434,0
207433,0
207432,2
207431,1
207011,2
207010,1
207009,0
207008,2
207007,1
207006,0
207005,1
207004,2
207003,0
207002,2
207001,0
207000,0
206582,1
206581,0
206580,1
206579,0
206578,0
206577,0
206576,1
206575,1
206574,1
206573,0
206572,1
206571,0
206153,0
206152,2
206151,3
206150,1
206149,0
206148,1
206147,0
206146,1
206145,0
206144,2
206143,1
206142,2
206141,0
205725,1
205724,2
205723,0
205722,0
205721,0
205720,2
205719,1
205718,1
205717,1
205716,2
205715,1
205714,1
205713,0
205712,0
205297,0
205295,1
205294,0
205293,2
205292,0
205291,0
205290,1
205289,2
205288,0
205287,0
205286,1
205285,1
205284,1
205283,1
205282,0
204868,0
204867,0
204866,1
204865,1
204864,0
204863,2
204862,1
204861,0
204860,0
204859,0
204858,0
204857,0
204856,2
204855,1
204854,1
204853,0
204852,0
204440,0
204439,0
204437,2
204436,0
204435,0
204434,0
204433,1
204432,1
204431,2
204430,0
204429,0
204428,0
204427,1
204426,1
204425,3
204424,0
204423,0
204422,1
204012,0
204007,0
204006,1
204005,1
204004,0
204003,1
204002,0
204001,0
204000,0
203999,0
203998,1
203997,0
203996,3
203995,1
203994,0
203993,3
203992,0
203991,0
203585,0
203584,0
203578,3
203577,1
203576,0
203575,1
203574,0
203573,1
203572,2
203571,0
203570,2
203569,1
203568,1
203567,2
203566,0
203565,2
203564,1
203563,1
203562,0
203561,0
203560,0
203157,0
203156,0
203150,3
203149,1
203148,0
203147,1
203146,2
203145,1
203144,2
203143,0
203142,0
203141,2
203140,0
203139,0
203138,1
203137,0
203136,0
203135,1
203134,1
203133,0
203132,0
203131,0
203130,0
202728,0
202727,0
202722,2
202721,2
202720,2
202719,1
202718,0
202717,1
202716,0
202715,0
202714,2
202713,0
202712,2
202711,2
202710,1
202709,3
202708,0
202707,2
202706,1
202705,0
202704,1
202703,0
202702,0
202701,1
202300,0
202293,2
202292,2
202291,1
202290,1
202289,0
202288,0
202287,1
202286,0
202285,1
202284,1
202283,0
202282,0
202281,0
202280,0
202279,2
202278,3
202277,1
202276,0
202275,1
202274,2
202273,0
202272,0
202271,1
201872,1
201864,2
201863,1
201862,1
201861,1
201860,0
201859,1
201858,0
201857,1
201856,0
201855,0
201854,1
201853,0
201852,0
201851,2
201850,0
201849,0
201848,1
201847,2
201846,1
201845,1
201844,1
201843,0
201842,1
201841,0
201840,0
201839,0
201443,1
201435,2
201434,1
201433,1
201432,2
201431,0
201430,0
201429,2
201428,1
201427,0
201426,2
201425,0
201424,1
201423,2
201422,2
201421,0
201420,0
201419,0
201418,2
201417,1
201416,0
201415,0
201414,1
201413,0
201412,1
201411,1
201410,0
201409,0
201015,0
201014,0
201008,0
201007,0
201006,0
201005,1
201004,3
201003,2
201002,1
201001,1
201000,0
200999,2
200998,1
200997,0
200996,1
200995,2
200994,1
200993,1
200992,0
200991,0
200990,1
200989,2
200988,1
200987,1
200986,0
200985,0
200984,0
200983,0
200982,1
200981,0
200980,2
200979,0
200978,0
200977,0
200587,0
200586,1
200585,2
200584,0
200579,1
200578,1
200577,1
200576,2
200575,0
200574,1
200573,1
200572,3
200571,0
200570,0
200569,0
200568,1
200567,3
200566,1
200565,0
200564,1
200563,1
200562,1
200561,3
200560,1
200559,0
200558,0
200557,2
200556,1
200555,0
200554,0
200553,0
200552,0
200551,0
200550,0
200549,0
200548,0
200158,1
200157,0
200156,2
200152,1
200151,1
200150,2
200149,0
200148,2
200147,1
200146,1
200145,1
200144,1
200143,2
200142,1
200141,1
200140,2
200139,0
200138,2
200137,1
200136,1
200135,1
200134,2
200133,2
200132,0
200131,2
200130,1
200129,2
200128,1
200127,0
200126,0
200125,0
200124,0
