"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,8007.000000,8007.000000,8007,290040000.000000,1723340000.000000,15120000.000000,290040000.000000,1418180000.000000,0.008774,0.000000,0.000000,0,1.000000
2,8012.000000,8012.000000,8012,288600000.000000,1723340000.000000,15940000.000000,288600000.000000,1418800000.000000,0.009249,0.000000,0.000000,0,1.000000
3,8034.000000,8034.000000,8034,289780000.000000,1723340000.000000,15790000.000000,289780000.000000,1417770000.000000,0.009162,0.000000,0.000000,0,1.000000
4,8025.000000,8025.000000,8025,288100000.000000,1723340000.000000,16450000.000000,288100000.000000,1418790000.000000,0.009545,0.000000,0.000000,0,1.000000
5,8038.000000,8038.000000,8038,290020000.000000,1723340000.000000,15750000.000000,290020000.000000,1417570000.000000,0.009139,0.000000,0.000000,0,1.000000
6,8052.000000,8052.000000,8052,289920000.000000,1723340000.000000,16080000.000000,289920000.000000,1417340000.000000,0.009331,0.000000,0.000000,0,1.000000
7,8024.000000,8024.000000,8024,289540000.000000,1723340000.000000,15710000.000000,289540000.000000,1418090000.000000,0.009116,0.000000,0.000000,0,1.000000
8,8017.000000,8017.000000,8017,286780000.000000,1723340000.000000,16950000.000000,286780000.000000,1419610000.000000,0.009836,0.000000,0.000000,0,1.000000
9,7994.000000,7994.000000,7994,288440000.000000,1723340000.000000,15660000.000000,288440000.000000,1419240000.000000,0.009087,0.000000,0.000000,0,1.000000
10,8001.000000,8001.000000,8001,289080000.000000,1723340000.000000,15480000.000000,289080000.000000,1418780000.000000,0.008983,0.000000,0.000000,0,1.000000
